Table,Field Name,Field Type,Sample Value
"PromptTypes","promptType","singleLineText","email_campaign"
"PromptTypes","displayName","singleLineText","Email Campaign"
"PromptTypes","description","singleLineText","Email marketing campaign creation and optimization"
"PromptTypes","category","singleLineText","marketing"
"PromptTypes","isActive","checkbox","true"
"PromptTypes","defaultTone","singleLineText","engaging"
"PromptTypes","estimatedTokens","number","400"
"PromptTypes","complexity","singleLineText","medium"
"PromptTypes","fieldCount","number","6"
"PromptTypes","id","singleLineText","pl_005"
"PromptTypes","Total Usage Count","multipleSelects",""
"PromptTypes","Average Trust Score","singleLineText","[object Object]"
"PromptTypes","Average Cost Per Use","singleLineText","[object Object]"
"PromptTypes","hasNestedObjects","checkbox",""
"EmotionalStates","stateName","singleLineText","Skeptical"
"EmotionalStates","category","singleLineText","negative"
"EmotionalStates","intensity","singleLineText","medium"
"EmotionalStates","description","singleLineText","User has doubts and needs convincing"
"EmotionalStates","recommendedTone","singleLineText","transparent"
"EmotionalStates","isActive","checkbox","true"
"EmotionalStates","id","singleLineText","es_007"
"TrustFactors","factorName","singleLineText","Consistency"
"TrustFactors","category","singleLineText","reliability"
"TrustFactors","impact","singleLineText","high"
"TrustFactors","description","singleLineText","Predictable and stable performance across interact"
"TrustFactors","applicableProducts","multipleSelects","business_plan,ai_blueprint"
"TrustFactors","isActive","checkbox","true"
"TrustFactors","id","singleLineText","tf_005"
"SystemConfigs","configKey","singleLineText","emotional_compass_enabled"
"SystemConfigs","configValue","singleLineText","true"
"SystemConfigs","category","singleLineText","features"
"SystemConfigs","description","singleLineText","Enable 5-axis emotional compass tracking"
"SystemConfigs","isActive","checkbox","true"
"SystemConfigs","updatedBy","singleLineText","system"
"SystemConfigs","id","singleLineText","sc_004"
"AnalyticsAggregates","aggregateType","singleLineText","weekly"
"AnalyticsAggregates","promptType","singleLineText","business_plan"
"AnalyticsAggregates","dateRange","dateTime","2025-01-20T00:00:00.000Z"
"AnalyticsAggregates","totalSessions","number","95"
"AnalyticsAggregates","averageTrustScore","number","0.79"
"AnalyticsAggregates","averageResonanceScore","number","0.72"
"AnalyticsAggregates","totalTokensUsed","number","57000"
"AnalyticsAggregates","totalCostUSD","number","1.14"
"AnalyticsAggregates","id","singleLineText","aa_006"
"SessionAnalytics","sessionId","singleLineText","sess_002"
"SessionAnalytics","userId","singleLineText","user_002"
"SessionAnalytics","startTime","dateTime","2025-01-27T10:15:00.000Z"
"SessionAnalytics","endTime","dateTime","2025-01-27T10:30:00.000Z"
"SessionAnalytics","duration","number","900000"
"SessionAnalytics","promptCount","number","1"
"SessionAnalytics","productsUsed","multipleSelects","blogblitz"
"SessionAnalytics","primaryProduct","singleLineText","blogblitz"
"SessionAnalytics","trustScoreBefore","number","0.7"
"SessionAnalytics","trustScoreAfter","number","0.82"
"SessionAnalytics","trustDelta","number","0.12"
"SessionAnalytics","emotionalDepth","number","0.72"
"SessionAnalytics","overrideCount","number",""
"SessionAnalytics","timeToConfirmation","singleLineText","8000"
"SessionAnalytics","dropOffSignal","singleLineText","FALSE"
"SessionAnalytics","cohort","singleLineText","cohort_b"
"SessionAnalytics","status","singleLineText","active"
"SessionAnalytics","id","singleLineText","sa_002"
"SessionAnalytics","Total Prompts","multipleSelects",""
"SessionAnalytics","Average Trust Score","singleLineText","[object Object]"
"SessionAnalytics","Total Cost","number",""
"PromptLogs","timestamp","dateTime","2025-01-27T10:00:00Z"
"PromptLogs","sessionId","singleLineText","sess_001"
"PromptLogs","userId","singleLineText","user_001"
"PromptLogs","promptType","singleLineText","ad_amplify"
"PromptLogs","inputFields","singleLineText","{\""industry\"":\""SaaS\"",\""goal\"":\""Series A "
"PromptLogs","output","singleLineText","{\""plan\"":\""Comprehensive business plan...\""}"
"PromptLogs","tokensUsed","number","1200"
"PromptLogs","costUSD","number","0.024"
"PromptLogs","trustScore","number","0.85"
"PromptLogs","resonanceScore","number","0.78"
"PromptLogs","smartPromptScore","number","0.82"
"PromptLogs","emotionalDepth","number","0.75"
"PromptLogs","aweScore","number","0.8"
"PromptLogs","ownershipScore","number","0.85"
"PromptLogs","wonderScore","number","0.75"
"PromptLogs","calmScore","number","0.88"
"PromptLogs","powerScore","number","0.82"
"PromptLogs","fallbackTriggered","singleLineText","FALSE"
"PromptLogs","analyticsMeta","singleLineText","{\""sessionMetrics\"":{\""duration\"":1800}}"
"PromptLogs","consentGiven","checkbox","true"
"PromptLogs","deletionRequested","singleLineText","FALSE"
"PromptLogs","id","singleLineText","pl_001"
"SparkSplitAnalytics","sessionId","singleLineText","sess_006"
"SparkSplitAnalytics","timestamp","number","1706356800"
"SparkSplitAnalytics","promptType","singleLineText","blogblitz"
"SparkSplitAnalytics","comparisonId","singleLineText","comp_002"
"SparkSplitAnalytics","trustDelta","number","0.08"
"SparkSplitAnalytics","userSelection","singleLineText","sterile"
"SparkSplitAnalytics","timeToSelection","number","32000"
"SparkSplitAnalytics","aweScore","number","0.82"
"SparkSplitAnalytics","ownershipScore","number","0.88"
"SparkSplitAnalytics","wonderScore","number","0.78"
"SparkSplitAnalytics","calmScore","number","0.85"
"SparkSplitAnalytics","powerScore","number","0.82"
"SparkSplitAnalytics","competitiveAdvantage","number","0.8"
"SparkSplitAnalytics","trustTransparencyScore","number","0.88"
"SparkSplitAnalytics","emotionalEducationScore","number","0.82"
"SparkSplitAnalytics","wouldRefer","checkbox","true"
"SparkSplitAnalytics","circuitBreakerTriggered","singleLineText","FALSE"
"SparkSplitAnalytics","testId","singleLineText","test_002"
"SparkSplitAnalytics","variantType","singleLineText","sterile"
"SparkSplitAnalytics","conversionLift","number","0.123"
"SparkSplitAnalytics","statisticalSignificance","number","0.89"
"SparkSplitAnalytics","marketingReady","checkbox","true"
"SparkSplitAnalytics","sterileOutput","singleLineText","Standard business plan template..."
"SparkSplitAnalytics","enhancedOutput","singleLineText","Emotionally resonant business vision with trust-bu"
"SparkSplitAnalytics","educationalMoment","checkbox","true"
"SparkSplitAnalytics","transparencyTrust","number","0.88"
"SparkSplitAnalytics","viralPotential","number","0.65"
"SparkSplitAnalytics","id","singleLineText","ssa_002"
"SparkSplitAnalytics","sharedOutput","checkbox",""
"UserContext","id","singleLineText","uc_005"
"UserContext","userId","singleLineText","user_33333"
"UserContext","email","singleLineText","david@fintech.com"
"UserContext","timezone","singleLineText","Europe/London"
"UserContext","totalSessions","number","12"
"UserContext","preferredProducts","multipleSelects","blogblitz,spark_split"
"UserContext","preferredTone","singleLineText","technical"
"UserContext","industryFocus","multipleSelects","finance,technology"
"UserContext","businessGoals","singleLineText","innovation,competitive_advantage"
"UserContext","personalizationScore","number","0.79"
"UserContext","emotionalBaseline","singleLineText","focused"
"UserContext","trustScore","number","0.87"
"UserContext","lifetimeValue","number","3100"
"UserContext","churnRisk","number","0.18"
"UserContext","engagementTrend","singleLineText","stable"
"UserContext","preferences","singleLineText","{\""tone\"": \""technical\"", \""depth\"": \""deta"
"UserContext","emotionalProfile","singleLineText","{\""awe\"": 0.62, \""ownership\"": 0.88, \""wonder"
"UserContext","sparkResonance","singleLineText","{\""spark_concepts\"": [\""fintech innovation\"", "
"UserContext","createdAt","dateTime","2025-01-24T11:15:00.000Z"
"UserContext","updatedAt","dateTime","2025-01-27T13:45:00.000Z"
"UserContext","Total Sessions Calculated","multipleSelects",""
"UserContext","Average Session Duration","singleLineText","[object Object]"
"UserContext","Total Prompts Created","multipleSelects",""
"UserContext","Average Trust Score Calculated","singleLineText","[object Object]"
"UserContext","Total Spend","number",""
"EmotionalIntelligence","id","singleLineText","ei_003"
"EmotionalIntelligence","sessionId","singleLineText","sess_003"
"EmotionalIntelligence","userId","singleLineText","user_11111"
"EmotionalIntelligence","promptType","singleLineText","profile_makeover"
"EmotionalIntelligence","emotionalState","singleLineText","analytical"
"EmotionalIntelligence","aweScore","number","0.68"
"EmotionalIntelligence","ownershipScore","number","0.92"
"EmotionalIntelligence","wonderScore","number","0.55"
"EmotionalIntelligence","calmScore","number","0.88"
"EmotionalIntelligence","powerScore","number","0.85"
"EmotionalIntelligence","overallResonance","number","0.78"
"EmotionalIntelligence","trustScore","number","0.91"
"EmotionalIntelligence","confidenceScore","number","0.95"
"EmotionalIntelligence","timestamp","dateTime","2025-01-25T09:20:00.000Z"
"EmotionalIntelligence","createdAt","dateTime","2025-01-25T09:20:00.000Z"
"TrustMetrics","id","singleLineText","tm_004"
"TrustMetrics","sessionId","singleLineText","sess_004"
"TrustMetrics","userId","singleLineText","user_22222"
"TrustMetrics","promptType","singleLineText","business_plan"
"TrustMetrics","trustScore","number","0.65"
"TrustMetrics","previousScore","number","0.68"
"TrustMetrics","trustDelta","number","-0.03"
"TrustMetrics","source","singleLineText","response_time"
"TrustMetrics","component","singleLineText","competence"
"TrustMetrics","reason","singleLineText","Slower response time than expected"
"TrustMetrics","confidenceScore","number","0.71"
"TrustMetrics","timestamp","dateTime","2025-01-27T12:45:00.000Z"
"TrustMetrics","createdAt","dateTime","2025-01-27T12:45:00.000Z"
"PerformanceMetrics","id","singleLineText","pm_006"
"PerformanceMetrics","sessionId","singleLineText","sess_001"
"PerformanceMetrics","promptType","singleLineText","ad_amplify"
"PerformanceMetrics","apiCallId","singleLineText","api_006"
"PerformanceMetrics","timestamp","dateTime","2025-01-27T10:45:00.000Z"
"PerformanceMetrics","responseTime","number","2650"
"PerformanceMetrics","tokensUsed","number","3180"
"PerformanceMetrics","cost","number","0.0636"
"PerformanceMetrics","modelUsed","singleLineText","gpt-4o"
"PerformanceMetrics","success","checkbox","true"
"PerformanceMetrics","createdAt","dateTime","2025-01-27T10:45:00.000Z"
"PerformanceMetrics","errorMessage","singleLineText",""
"GoldmineOutput","recordId","singleLineText","gm_003"
"GoldmineOutput","sessionId","singleLineText","sess_003"
"GoldmineOutput","userId","singleLineText","user_11111"
"GoldmineOutput","promptType","singleLineText","profile_makeover"
"GoldmineOutput","outputContent","multilineText","Evidence-based professional transformation strateg"
"GoldmineOutput","outputHash","singleLineText","hash_pm_003"
"GoldmineOutput","resonanceScore","number","0.91"
"GoldmineOutput","trustScore","number","0.91"
"GoldmineOutput","industryCluster","singleLineText","healthcare"
"GoldmineOutput","intentSummary","singleLineText","Professional transformation"
"GoldmineOutput","sparkConcept","singleLineText","Evidence-based improvement"
"GoldmineOutput","reuseCategory","singleLineText","template"
"GoldmineOutput","reusePotential","number","0.95"
"GoldmineOutput","compoundValue","number","0.9"
"GoldmineOutput","emotionalTone","singleLineText","authoritative"
"GoldmineOutput","emotionalEnergy","singleLineText","medium"
"GoldmineOutput","emotionalStyle","singleLineText","systematic"
"GoldmineOutput","emotionalVocabulary","singleLineText","clinical"
"GoldmineOutput","createdAt","dateTime","2025-01-25T09:20:00.000Z"
